"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c"
"141",4614,2933,"27:51:39:S","28:14:46:E","PZR",2,1,2061,"49:0:46:N","2:32:59:E","ZURICH / PARIS",0,-27.8608333333333,28.2461111111111
"142",4771,2933,"27:51:39:S","28:14:46:E","ZRP",2,2,2061,"49:0:46:N","2:32:59:E","ZURICH / PARIS",0,-27.8608333333333,28.2461111111111
"143",4396,2933,"27:51:39:S","28:14:46:E","DLW",2,1,2063,"0:27:31:N","9:24:44:E","WINDHOEK / LIBREVILLE / DOUALA",0,-27.8608333333333,28.2461111111111
"144",4399,2933,"27:51:39:S","28:14:46:E","LIB",2,1,2063,"0:27:31:N","9:24:44:E","BRAZZAVILLE / LIBREVILLE",365,-27.8608333333333,28.2461111111111
"145",4400,2933,"27:51:39:S","28:14:46:E","BBV",2,2,2063,"0:27:31:N","9:24:44:E","BRAZZAVILLE / LIBREVILLE",0,-27.8608333333333,28.2461111111111
"146",4408,2933,"27:51:39:S","28:14:46:E","LLD",2,1,2063,"0:27:31:N","9:24:44:E","LUANDA / LIBREVILLE",0,-27.8608333333333,28.2461111111111
"147",4412,2933,"27:51:39:S","28:14:46:E","CLB",2,1,2063,"0:27:31:N","9:24:44:E","BRAZZAVILLE / LIBREVILLE / COTONOU",525,-27.8608333333333,28.2461111111111
"148",4726,2933,"27:51:39:S","28:14:46:E","LBV",2,3,2063,"0:27:31:N","9:24:44:E","LIBREVILLE",270,-27.8608333333333,28.2461111111111
"149",13041,2933,"27:51:39:S","28:14:46:E","LBP",2,3,2063,"0:27:31:N","9:24:44:E","POINTE NOIRE / LIBREVILLE",10,-27.8608333333333,28.2461111111111
"150",13081,2933,"27:51:39:S","28:14:46:E","ALB",2,1,2063,"0:27:31:N","9:24:44:E","LIBREVILLE",10,-27.8608333333333,28.2461111111111
"151",4427,2933,"27:51:39:S","28:14:46:E","TLD",1,3,2070,"23:48:39:S","29:7:37:E","TULI LODGE",0,-27.8608333333333,28.2461111111111
"152",4424,2933,"27:51:39:S","28:14:46:E","STN",2,3,2071,"51:53:6:N","0:14:6:E","STANSTED",0,-27.8608333333333,28.2461111111111
"153",12821,2933,"27:51:39:S","28:14:46:E","MAN",2,3,2087,"53:21:13:N","3:43:30:W","MANCHESTER",10,-27.8608333333333,28.2461111111111
"154",4423,2933,"27:51:39:S","28:14:46:E","PAL",2,2,2091,"51:28:14:N","1:32:17:W","PARIS / LONDON-HEATHROW",0,-27.8608333333333,28.2461111111111
