"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c","LAT2c","LON2c","distanza"
"78",4591,2933,"27:51:39:S","28:14:46:E","BZV",2,3,1848,"5:44:54:S","15:15:11:E","BRAZZAVILLE",0,-27.8608333333333,28.2461111111111,-5.74833333333333,15.2530555555556,2815.57350052049
"79",12321,2933,"27:51:39:S","28:14:46:E","BCB",2,1,1848,"5:44:54:S","15:15:11:E","BAMAKO SENOU / BRAZZAVILLE / COTONOU",0,-27.8608333333333,28.2461111111111,-5.74833333333333,15.2530555555556,2815.57350052049
"80",13623,2933,"27:51:39:S","28:14:46:E","BZV1",2,3,1848,"5:44:54:S","15:15:11:E","COO/BZV",0,-27.8608333333333,28.2461111111111,-5.74833333333333,15.2530555555556,2815.57350052049
"81",13626,2933,"27:51:39:S","28:14:46:E","BZV2",2,3,1848,"5:44:54:S","15:15:11:E","COO/BKO/BZV",0,-27.8608333333333,28.2461111111111,-5.74833333333333,15.2530555555556,2815.57350052049
"82",4587,2933,"27:51:39:S","28:14:46:E","BRZ",2,2,1852,"47:27:53:N","8:32:57:E","BRUSSELS / ZURICH",0,-27.8608333333333,28.2461111111111,47.4647222222222,8.54916666666667,8605.10282551642
"83",4649,2933,"27:51:39:S","28:14:46:E","FRZ",2,2,1852,"47:27:53:N","8:32:57:E","FRANKFURT / ZURICH",0,-27.8608333333333,28.2461111111111,47.4647222222222,8.54916666666667,8605.10282551642
"84",4770,2933,"27:51:39:S","28:14:46:E","ZRH",2,3,1852,"47:27:53:N","8:32:57:E","ZURICH",620,-27.8608333333333,28.2461111111111,47.4647222222222,8.54916666666667,8605.10282551642
"85",4410,2933,"27:51:39:S","28:14:46:E","BZA",2,2,1855,"5:15:41:N","4:4:25:W","BRAZZAVILLE / COTONOU / ABIDJAN",0,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
"86",4579,2933,"27:51:39:S","28:14:46:E","KIB",2,2,1855,"5:15:41:N","4:4:25:W","KINSHASA / ABIDJAN",0,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
"87",4626,2933,"27:51:39:S","28:14:46:E","AAC",2,3,1855,"5:15:41:N","4:4:25:W","ACCRA / ABIDJAN",485,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
"88",4628,2933,"27:51:39:S","28:14:46:E","ABB",2,1,1855,"5:15:41:N","4:4:25:W","BRAZZAVILLE / ABIDJAN",485,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
